patch_idx,centroid_u,centroid_v
0,29.0,35.0
1,26.0,28.0
2,21.5,24.0
3,30.0,26.0
4,24.0,34.0
5,31.0,32.0
6,31.0,38.0
7,26.0,15.0
8,15.5,18.0
9,23.0,11.0
10,21.0,7.0
11,35.0,25.0
12,14.0,26.0
13,15.0,10.0
14,25.0,24.0
15,30.0,15.0
16,28.0,21.0
17,14.0,29.0
18,9.923076923076923,15.538461538461538
19,18.333333333333332,11.0
20,7.0,13.0
21,5.833333333333333,2.3333333333333335
22,17.0,16.0
23,26.6,30.8
24,22.0,20.0
25,19.181818181818183,25.272727272727273
26,3.5,10.0
27,18.0,30.0
28,8.666666666666666,22.666666666666668
29,9.666666666666666,6.333333333333333
